,Planet Radius Value,Stellar Mass,Orbital Period Value,Star Radius Value,Effective Temperature Value,J mag,V mag,TIC Declination,Effective Stellar Flux Value,mass_flag,pl_masses,Ars,K_amp,TSM,Full TOI ID
785,10.705,1.01,5.20851,1.78,5150,11.601,,5.57373,573.5940703,1,153.8297,7.129492547,56.47270972,18.88602582,CoRoT-28 b
786,3.178,0.98,3.705871,0.91,5649,11.427,12.649,-3.553082,348.6042045,0,10.2522,11.00330945,4.30150175,30.20415618,K2-160 b
787,14.572,0.98,1.4013794,0.96,5675,11.581,13.28,29.879107,1445.047839,1,603.877,5.454275958,350.3722584,53.04527284,WASP-135 b
788,2.66,1.46,7.71468975,1.74,6761,11.25,,43.672771,754.2529785,0,7.5762,10.7154359,1.908507579,8.490955099,Kepler-880 b
789,2.302,0.97,3.405164,0.91,5491,11.547,13.297,-22.407034,350.7718044,0,5.9256,10.36422987,2.574872219,18.52845957,K2-202 b
790,17.374,1.34,3.332609,1.73,5914,11.408,12.8,40.018723,1415.369357,1,123.9537,5.9851389,43.73663425,145.303072,WASP-153 b
791,2.76,0.62,30.951524,0.59,4035,11.907,14.781,21.453533,3.054515411,0,8.0668,59.9739158,2.263584273,14.67165957,K2-123 b
792,12.218,0.87,3.7684952,0.87,5298,11.591,,-27.623163,260.9861827,1,88.3567,11.18566061,39.91056235,168.844278,WASP-160 B b
793,1.63,1.08,13.24503188,1.36,5758,11.422,,45.769753,144.1603836,0,3.2951,17.77734269,0.847524529,4.491694218,Kepler-1079 b
794,1.57,0.52,4.19449651,0.5,3687,11.951,,40.220753,24.70350243,0,3.0916,17.6081406,1.899058344,15.96054019,Kepler-974 b
795,2.41,0.95,6.4215,0.93,5652,11.613,13.443,16.634548,178.9828593,0,6.4059,15.37252023,2.284561074,15.43797167,K2-84 b
796,2.03,0.95,27.86,0.93,5652,11.613,13.443,16.634548,25.29406371,0,4.7852,40.89229547,1.046344037,7.572845177,K2-84 c
797,6.28,1.11,5.28789787,3.39,4972,11.7,,49.79755,1663.281652,0,32.6352,3.902346503,11.19335962,6.17794879,Kepler-1004 b
798,1.536,1.24,3.1800218,1.45,5854,11.392,12.7,48.208611,1070.024221,1,3.51,6.744583253,1.324747609,5.194709091,Kepler-107 b
799,1.597,1.24,4.901452,1.45,5854,11.392,12.7,48.208611,600.9902126,1,9.39,8.999496747,3.068033292,1.889349508,Kepler-107 c
800,0.86,1.24,7.95839,1.45,5854,11.392,12.7,48.208611,314.9199067,1,3.8,12.43231104,1.056358305,0.093538659,Kepler-107 d
801,2.903,1.24,14.749143,1.45,5854,11.392,12.7,48.208611,138.3390183,1,8.6,18.75769972,1.946311055,8.718957326,Kepler-107 e
802,2.31,0.96,19.5666,0.98,6060,11.427,12.588,-8.714505,59.04402945,0,5.9607,30.76831705,1.456113307,10.86332629,K2-74 b
803,6.91,1.54,38.58422849,1.98,6392,11.302,,44.068821,88.041045,0,38.3943,28.03350665,5.45799982,11.81456955,Kepler-522 b
804,2.5,0.97,30.94191,0.96,5850,11.44,12.654,-1.198477,26.52303799,0,6.8179,42.78057193,1.41972517,10.20974871,K2-6 b
805,3.18,0.75,1.3373508,0.84,5143,11.584,,-30.811803,949.3463594,1,20.6,5.526716556,14.50981186,21.12192361,NGTS-4 b
806,1.3,0.93,6.40087618,1.09,5475,11.606,,39.144731,220.5208243,0,2.2431,12.99540837,0.812264323,0.802890255,Kepler-796 b
807,1.418,0.96,7.576544,0.98,5748,11.445,12.633,-14.593286,169.334254,0,2.6002,16.34585332,0.871470584,1.121040625,K2-170 b
808,1.802,0.96,12.400047,0.98,5748,11.445,12.633,-14.593286,87.79610382,0,3.9078,22.70086391,1.111375742,8.614518227,K2-170 c
809,1.15,0.42,9.7843,0.38,3798,11.85,14.042,-17.543995,5.988009473,0,1.6028,37.95029614,0.855960526,2.321843658,K2-54 b
810,1.579,0.9,2.858646,0.84,5176,11.608,13.258,-12.806568,313.2286297,0,3.1218,9.745503861,1.511612453,12.5901356,K2-191 b
811,11.646,0.9,4.098503,0.84,5425,11.632,13.53,22.299404,233.8102309,1,184.0236,12.39122427,79.02307905,71.89914717,K2-30 b
812,2.5,0.7,13.89961966,0.67,4671,11.731,,38.862513,18.97089456,0,6.8179,32.24945037,2.304100821,16.85869872,Kepler-543 b
813,17.396,1.39,2.6266657,1.69,6367,11.4,12.689,16.867718,2432.192001,1,451.3186,5.291968612,168.2372968,48.23925789,K2-260 b
814,13.002,0.93,3.577469,1,5800,11.499,12.704,1.064966,507.7580541,1,572.07,9.611121434,251.4890605,29.30927768,WASP-37 b
815,16.825,1.26,3.105161,1.31,6277,11.405,12.497,-26.740201,1179.125133,1,260.9384,7.387045888,98.21551717,104.5885652,HATS-65 b
816,13.585,1.02,3.257215,1.1,5680,11.561,13.03,34.728413,602.1222582,1,198.953,8.464490431,84.85004679,80.5700874,HAT-P-28 b
817,1.375,0.88,0.669558,0.82,5221,11.624,13.075,1.704954,2172.556483,0,2.4676,3.765029091,1.967617891,2.681104592,K2-211 b
818,11.31,0.72,1.540731,0.7,4309,11.835,14.133,60.964119,276.4050344,1,378.2177,7.189960451,261.1330023,43.81733615,Qatar-9 b
819,10.985,1.17,3.8186244,1.64,5965,11.422,,-44.088694,1201.796608,1,344.5277,6.607724036,127.1691514,14.0234763,WASP-171 b
820,2.11,0.96,8.51203588,0.88,5842,11.472,,41.373873,124.7443229,0,5.1102,19.67248388,1.647516518,14.14267707,Kepler-518 b
821,0.96,1.13,10.60052251,1.26,6150,11.436,,43.915066,210.2749534,0,0.8397,16.79202015,0.225707826,0.690733789,Kepler-1445 b
822,2.32,1.14,15.48043,1.13,6059,11.425,12.536,1.566849,95.60517939,0,6.0046,24.1717271,1.414285292,9.277386382,K2-259 b
823,10.12,0.94,282.5255,1,5629,11.501,,51.962601,1.32007176,0,73.4448,177.545723,7.472061708,24.2850761,PH2 b
824,16.41,1.32,1.8209993,1.43,6300,11.439,12.56,-63.565609,2815.831079,1,388.3883,4.815310403,169.3157824,66.95743029,HATS-35 b
825,0.89,0.91,1.9078052,0.82,5436,11.542,,42.813923,618.0740582,0,0.6403,7.652179098,0.352177615,2.125124125,Kepler-1027 b
826,1.52,1.18,0.92990668,1.4,6169,11.387,,46.098885,6551.025783,0,2.9261,3.027062402,1.719776013,10.2128078,Kepler-1323 b
827,0.86,,10.05537,0.78,5212,11.61,,46.051975,,0,0.5663,,,,Kepler-352 b
828,1.24,,16.332995,0.78,5212,11.61,,46.051975,,0,2.07,,,,Kepler-352 c
829,10.054,0.74,4.024867,0.7,4444,11.807,13.946,6.816871,85.34349169,1,106.473,13.76288195,52.41050572,82.56258311,K2-295 b
830,13.787,1.09,2.8786765,1.32,5910,11.493,,-38.744528,1146.368618,1,731.009,6.641394915,310.8073556,19.29209586,WASP-192 b
831,1.35,1.06,1.742169,1.19,5977,11.502,12.646,23.357481,1939.712264,0,2.3918,5.222089895,1.224826878,1.27815113,K2-188 b
832,2.83,1.06,7.810253,1.19,5977,11.502,12.646,23.357481,262.4042617,0,8.4177,14.19801261,2.614277489,13.66898884,K2-188 c
833,1.69,1.3,7.16892463,1.55,6350,11.406,,49.110325,554.9135904,0,3.504,11.01999146,0.977314574,5.114124114,Kepler-853 b
834,1.59,0.33,9.54927542,0.33,3519,12,,45.972398,4.03741209,0,3.1589,39.67651163,1.997347492,23.154515,Kepler-504 b
835,17.609,1.4,3.54387,1.62,6430,11.424,12.422,17.830082,1551.86107,1,190.372,6.756814785,63.9159093,114.1021393,HAT-P-39 b
836,4.34,0.83,11.89307,1.25,5793,11.499,12.212,-1.590889,171.668823,0,17.4135,16.48951302,5.533329521,17.47614133,K2-245 b
837,7.74,0.93,7.9194,0.86,5430,11.596,13,0.603575,99.9967459,0,46.5601,18.98249147,15.70525634,65.43621047,K2-19 b
838,4.86,0.93,11.90715,0.86,5430,11.596,13,0.603575,58.05395431,0,21.1075,24.91324182,6.214832209,31.19195946,K2-19 c
839,1.14,0.93,2.50856,0.86,5430,11.596,13,0.603575,463.1015654,0,1.5534,8.820800961,0.768664849,1.518863593,K2-19 d
840,1.47,,8.436387,0.8,5187,11.65,,43.039101,,0,2.7644,,,,Kepler-137 b
841,1.88,,18.735753,0.8,5187,11.65,,43.039101,,0,4.1997,,,,Kepler-137 c
842,2.94,,15.771044,1.3,5594,11.53,,43.889351,,0,8.9814,,,,Kepler-139 b
843,3.38,,157.072878,1.3,5594,11.53,,43.889351,,0,11.3845,,,,Kepler-139 c
844,1.89,0.8,39.91488,0.78,5698,11.571,12.901,2.502696,12.76068165,0,4.2378,58.5132796,0.921763216,8.429591371,K2-13 b
845,3.26,,26.84768,2.02,5502,11.6,,45.387936,,0,10.7059,,,,Kepler-368 b
846,3.88,,72.379334,2.02,5502,11.6,,45.387936,,0,14.3936,,,,Kepler-368 c
847,2.78,0.78,29.88485741,0.75,4893,11.772,,48.683601,9.596806139,0,8.1664,49.75463658,1.989456134,12.98478075,Kepler-531 b
848,2.67,1.16,7.8142,1.56,5995,11.564,12.701,-7.469853,429.4928202,0,7.6247,11.16469616,2.229494699,7.97963648,K2-75 b
849,2.77,1.16,18.311,1.56,5995,11.564,12.701,-7.469853,137.991559,0,8.1165,19.69693274,1.786802822,6.401860048,K2-75 c
850,0.95,0.51,3.27346074,0.49,3864,11.971,,47.772957,40.35081547,0,0.8088,15.13193842,0.546649762,2.377201258,Kepler-1049 b
851,13.563,1.16,2.176423,1.44,5700,11.555,12.9,-35.796555,1644.230334,1,368.6828,5.158398281,165.0758843,32.54540547,WASP-133 b
852,1.54,,3.292781,1.76,5684,11.537,,47.163956,,0,2.9918,,,,Kepler-337 b
853,2.05,,9.693201,1.76,5684,11.537,,47.163956,,0,4.8656,,,,Kepler-337 c
854,6.35,1,296.637865,1.2,5770,11.534,,47.574875,1.887114625,0,33.256,156.0267183,3.194319356,9.909410989,Kepler-511 b
855,12.666,1.08,4.533471,1.14,5871,11.545,12.795,0.306743,457.2661459,1,98.5273,10.37734186,36.22827435,115.4526824,WASP-151 b
856,4.11,1.25,8.57503552,3.42,5028,11.794,,47.881382,858.5126402,0,15.874,5.554739273,4.281391165,2.839442965,Kepler-815 b
857,0.91,1.07,2.41660118,1.04,5748,11.572,,49.943016,814.0277403,0,0.6933,7.455218978,0.316359493,1.378038841,Kepler-1525 b
858,3.69,0.87,7.20283653,0.84,5445,11.69,,41.576733,114.4371886,0,13.216,17.84262163,4.810274488,28.86582799,Kepler-1627 b
859,13.563,1.25,3.310651,1.37,5900,11.499,12.4,-17.115154,929.0932156,1,854.9627,7.352260169,316.6794456,13.7944187,WASP-141 b
860,1.3,0.98,0.77392,0.92,5484,11.687,13.081,23.1926,2554.19831,0,2.2431,3.83101695,1.586291798,2.003017665,K2-187 b
861,1.8,0.98,2.872042,0.92,5484,11.687,13.081,23.1926,444.557892,0,3.9005,9.18284424,1.781653123,13.09742629,K2-187 c
862,3.17,0.98,7.14921,0.92,5484,11.687,13.081,23.1926,131.7767021,0,10.2083,16.86638707,3.440597529,20.48944024,K2-187 d
863,2.38,0.98,13.609878,0.92,5484,11.687,13.081,23.1926,55.85264315,0,6.271,25.90714256,1.705369625,11.21144657,K2-187 e
864,7.6,1.16,9.726618,1.4,5747,11.811,14.134,18.827417,218.1730176,0,45.1375,14.39555333,12.26955295,26.5434312,K2-87 b
865,1.12,0.54,35.23319,0.52,3748,12.13,,41.951092,1.62945063,0,1.4581,70.84758469,0.429659744,0.799347704,Kepler-438 b
866,2.89,1.19,30.8638931,1.65,6112,11.547,,45.053314,81.7404466,0,8.7233,26.60079865,1.586413691,5.346576817,Kepler-805 b
867,2.569,1.05,8.679885,1.01,5757,11.563,12.876,6.84646,142.2276897,0,7.1409,17.89150479,2.154629551,13.74120935,K2-218 b
868,2,0.55,7.51574,0.53,3845,12.023,14.979,2.020953,14.53118317,0,4.6656,24.96828354,2.272962709,16.48497501,K2-153 b
869,13.271,1.04,4.5195064,0.96,5839,11.639,12.91,3.133056,326.6786743,1,95.0312,12.144036,35.86995532,170.9393558,WASP-181 b
870,3.1,,11.427548,1.35,5711,11.558,,42.166779,,0,9.8281,,,,Kepler-104 b
871,3.13,,23.668205,1.35,5711,11.558,,42.166779,,0,9.9903,,,,Kepler-104 c
872,3.58,,51.755394,1.35,5711,11.558,,42.166779,,0,12.5532,,,,Kepler-104 d
873,3.05,0.87,8.98101683,0.9,5661,11.65,,44.85791,114.3699964,0,9.5601,19.29197737,3.232895105,19.99179634,Kepler-463 b
874,15.98,1.3,3.313959,1.81,6061,11.564,12.92,-22.293402,1757.15684,1,317.8,5.641957263,114.6374362,39.57596496,K2-107 b
875,0.61,0.96,0.69384285,0.94,5589,11.66,,46.005653,3373.632863,0,0.1656,3.462308786,0.123133528,2.914494763,Kepler-1087 b
876,0.77,1.01,3.87595807,1.01,5776,11.595,,43.774297,433.3110799,0,0.3813,10.31812916,0.154469728,1.360278803,Kepler-1629 b
877,12.285,1.15,2.5079204,1.27,6007,11.601,12.88,36.212971,1313.375962,1,1369.8473,6.410135651,588.4183379,7.745558652,Qatar-3 b
878,1.88,0.88,4.778,0.89,5194,11.702,,40.94902,182.4620166,1,3.94,12.85772531,1.631834995,12.54794868,Kepler-48 b
879,2.71,0.88,9.67395,0.89,5194,11.702,,40.94902,71.23534737,1,14.61,20.57797358,4.783117013,8.011868884,Kepler-48 c
880,2.04,0.88,42.8961,0.89,5194,11.702,,40.94902,9.778605346,1,7.93,55.54077289,1.580262812,3.832558872,Kepler-48 d
881,11.187,0.57,3.3252725,0.57,3724,12.046,15.16,-19.031656,42.83546579,1,101.3878,13.64156151,63.29614093,135.8207035,HATS-6 b
882,1.51,1.23,25.369116,1.38,6210,11.499,,49.154793,77.41326262,0,2.8934,28.21772538,0.549482428,3.263249936,Kepler-1209 b
883,1.23,0.26,4.6122,0.26,3537,12.037,15.476,19.120178,7.912769457,0,2.0417,28.6320439,1.928816164,4.686236442,K2-88 b
884,2.49,0.86,3.10550819,0.79,5009,11.821,,40.211542,224.276492,0,6.7716,10.78590707,3.287748737,21.4600537,Kepler-475 b
885,3.32,1.28,6.03356196,3.38,5047,11.843,,48.645279,1338.945567,0,11.0431,4.481584985,3.296175168,2.678565705,Kepler-1270 b
886,11.769,0.89,2.83891856,0.93,5600,11.625,13.04,-2.057665,534.9198816,1,204.6825,8.729274931,100.0814481,67.15121302,WASP-57 b
887,16.03,1.27,2.99433,1.37,6440,11.589,12.939,5.937688,1491.937256,1,740.51,6.91262413,280.6375264,28.3972146,CoRoT-11 b
888,2,0.46,10.59357,0.44,3499,12.107,15.829,8.987539,4.89576728,0,4.6656,35.62246677,2.283698069,17.53132038,K2-150 b
889,1.77,,4.915379,1.19,5740,11.621,,44.145756,,0,3.7906,,,,Kepler-321 b
890,2.32,,13.093921,1.19,5740,11.621,,44.145756,,0,6.0046,,,,Kepler-321 c
891,1.99,0.99,1.54168,1.11,5539,11.672,,37.964506,1533.405283,1,3.55,5.044065768,1.981788608,18.33080176,Kepler-98 b
892,2.11,1.47,56.6449279,2.15,6228,11.584,,41.363559,57.83797231,0,5.1102,32.835011,0.659310282,1.85681278,Kepler-1580 b
893,1.82,0.75,4.754,0.69,4725,11.886,,50.944332,84.1176256,1,11.7,15.67135724,5.399776827,4.828743932,Kepler-113 b
894,2.18,0.75,8.92507,0.69,4725,11.886,,50.944332,36.32038141,1,8.7,23.84926028,3.25480557,9.046320084,Kepler-113 c
895,1.96,1.11,2.86041,1.39,5945,11.575,12.707,-6.576109,1296.836777,0,4.5081,6.31840626,1.897663961,8.819596275,K2-230 b
896,14.908,1.23,5.1817,1.65,6000,11.59,,-30.348139,801.7539587,1,181.1631,8.185183726,58.41971464,55.08589337,WASP-184 b
897,3.54,1.17,70.9674603,1.25,6179,11.622,,39.519818,16.33018854,0,12.3157,60.82572285,1.716192328,7.832496084,Kepler-1524 b
898,1.35,1.46,3.70428172,1.77,6680,11.503,,46.516201,1978.091843,0,2.3918,6.459162144,0.769435356,0.580305763,Kepler-1244 b
899,3.22,1.4,20.257,1.63,6771,11.606,12.876,-12.066374,189.0176041,0,10.4836,21.46846475,1.968568627,7.567096206,K2-63 b
900,3.9,1.4,25.4556,1.63,6771,11.606,12.876,-12.066374,139.3877606,0,14.5199,24.9999877,2.526587478,8.995656739,K2-63 c
901,1.62,0.8,20.16034462,0.74,4944,11.899,,47.641785,16.18407984,0,3.2608,39.1164475,0.89059866,6.993776481,Kepler-992 b
902,13.922,0.94,4.301219,0.95,5295,11.729,,47.014687,247.2132494,1,111.871,11.48001737,45.92180496,153.1855118,HAT-P-44 b
903,0.6,0.94,9.32807355,0.91,5645,11.693,,47.016628,104.3835436,0,0.1561,20.07975281,0.049503685,1.296855033,Kepler-1583 b
904,12.823,0.81,2.96264036,0.74,5473,11.691,,-34.328194,310.8168996,1,293.0393,10.93818015,150.415778,81.15501713,WASP-98 b
905,0.8,1.17,3.78470649,1.23,6138,11.574,,47.6642,766.9826905,0,0.4372,8.758051096,0.161856208,1.044819657,Kepler-1395 b
906,14.874,1.08,1.53736596,0.98,5959,11.609,,-8.026946,1516.56662,1,750.3966,5.870329952,395.669995,43.52765737,WASP-36 b
907,1.63,0.71,4.09639,0.67,4629,11.986,14.183,-4.717236,92.41852174,0,3.2951,14.34965106,1.657600178,12.77222811,K2-254 b
908,2.19,0.71,12.11839,0.67,4629,11.986,14.183,-4.717236,21.76210228,0,5.4439,29.57130058,1.907685514,13.06111085,K2-254 c
909,2.124,1,8.269648,0.97,5704,11.679,12.986,6.123902,139.3093145,0,5.1679,17.74661158,1.637076385,10.97193711,K2-215 b
910,4.42,0.9,11.716332,0.84,5200,11.811,13.371,19.010023,48.64699654,0,17.9627,24.95888379,5.434962739,25.04437661,K2-273 b
911,9.76,1.58,5.54608367,1.95,7010,11.505,,43.188778,1612.708958,0,69.0588,7.877792269,18.4233816,35.95504204,Kepler-1517 b
912,1.96,0.86,49.6077331,0.78,5213,11.845,,49.923862,6.375436823,0,4.5081,69.28942613,0.869084418,6.549305628,Kepler-973 b
913,8.46,0.99,160.8846509,0.97,5617,11.758,,39.285277,2.520497101,0,54.1607,127.9417346,6.422041662,21.35327539,Kepler-1513 b
914,13.899,1.07,3.37265,1.02,6050,11.65,12.7,-30.749672,616.1771786,1,190.698,9.4930208,77.86645065,101.0741701,WASP-124 b
915,2.94,,2.453234,0.65,4559,11.992,,43.083149,,0,8.9814,,,,Kepler-210 b
916,3.62,,7.972513,0.65,4559,11.992,,43.083149,,0,12.7926,,,,Kepler-210 c
917,2.69,1.17,34.43587975,1.3,5997,11.617,,48.91674,41.10096953,0,7.7221,36.11507759,1.369383119,6.297671948,Kepler-512 b
918,1.97,0.75,6.102325,0.63,4674.13,12.048,14.364,14.5022,48.13758273,0,4.5472,20.2724353,1.931028217,15.25727226,K2-81 b
919,1.76,,8.129976,1.43,5736,11.68,,48.320328,,0,3.7543,,,,Kepler-133 b
920,2.84,,31.517586,1.43,5736,11.68,,48.320328,,0,8.4683,,,,Kepler-133 c
921,6.6,0.98,1320.1,1.52,6258,11.64,,41.223038,0.580101832,0,35.5123,331.0285768,2.101888418,4.605231725,KIC 5951458 b
922,3.21,0.98,158.6853308,1.01,5867,11.669,,47.759434,3.335354443,0,10.4283,121.3410275,1.250645974,6.949700026,Kepler-782 b
923,1.09,1.14,3.744439,1.25,5961,11.64,,50.759489,727.2419406,0,1.323,8.482918079,0.500124589,0.809440093,Kepler-889 b
924,3.3,1.21,7.25696522,1.59,5933,11.652,,48.982361,459.264268,0,10.9302,10.57459774,3.184955473,10.03591223,Kepler-464 b
925,12.33,0.94,2.423804,0.91,5420,11.702,12.9,-11.938115,535.0150708,1,276.5121,8.176398558,137.4190439,57.62267389,WASP-44 b
926,1.48,0.94,2.58664,0.98,5779,11.744,,48.673431,735.3560882,1,3.51,7.928719076,1.706974637,1.187724351,Kepler-97 b
927,7.55,1.35,39.93767,5.15,5433,11.865,13.386,1.98684,324.1468346,0,44.6338,10.55492144,6.848008538,2.094390111,K2-11 b
928,1.43,,1.678327,1.18,5987,11.689,,38.127473,,0,2.6377,,,,Kepler-323 b
929,1.63,,3.553822,1.18,5987,11.689,,38.127473,,0,3.2951,,,,Kepler-323 c
930,1.88,1.36,16.3583055,1.72,6161,11.681,,39.048031,195.592721,0,4.1997,17.47320456,0.863369578,3.238313283,Kepler-1382 b
931,0.85,1.15,2.88879862,1.29,5732,11.724,,46.481106,930.4303776,0,0.5431,6.934528073,0.222549183,0.898325822,Kepler-1385 b
932,2.36,0.98,1.93155984,0.98,5762,11.783,,46.502239,1043.321631,0,6.1817,6.617346712,3.222836961,19.4385018,Kepler-1066 b
933,1.6,0.91,34.885,,,11.877,13.552,-12.734723,,0,3.1927,,,,EPIC 212499991 b
934,1.26,,5.188549,0.67,4605,12.035,,48.349525,,0,2.1271,,,,Kepler-114 b
935,1.6,,8.041,0.67,4605,12.035,,48.349525,,1,2.8,,,,Kepler-114 c
936,2.53,,11.776,0.67,4605,12.035,,48.349525,,1,3.9,,,,Kepler-114 d
937,2.85,1.04,51.07926307,1.05,5927,11.698,,48.495564,16.35828994,0,8.519,55.91745431,1.432854312,8.089535159,Kepler-466 b
938,1.25,1.04,3.70921385,1.05,5927,11.698,,48.495564,539.9516863,0,2.0985,9.732824479,0.846012228,0.985817565,Kepler-466 c
939,1.38,0.85,1.543069,0.77,4877,11.968,13.782,13.549833,490.3438262,0,2.4828,6.915150608,1.533855759,1.797233931,K2-270 b
940,2.95,0.85,4.400028,0.77,4877,11.968,13.782,13.549833,121.2664284,0,9.0334,13.90534299,3.935536952,22.92399108,K2-270 c
941,2.05,0.33,2.6446,0.33,3385,12.183,16.248,19.092878,19.14878715,1,5.77,16.85750115,5.597108243,36.85322609,K2-146 b
942,2.19,0.33,4.00498,0.33,3385,12.183,16.248,19.092878,11.01084868,1,7.49,22.23071529,6.326879907,30.14117295,K2-146 c
943,1.52,,7.05677,1.36,6177,11.708,,40.548373,,0,2.9261,,,,Kepler-348 b
944,1.33,,17.265427,1.36,6177,11.708,,40.548373,,0,2.3319,,,,Kepler-348 c
945,1.28,0.81,12.43931193,0.78,5066,11.93,,44.941933,37.42537046,0,2.1848,27.00808581,0.695141802,0.84954405,Kepler-1008 b
946,15.637,1.07,1.3484978,1.12,6125,11.678,12.83,-61.747311,2649.550657,1,718.2958,4.692157271,398.1205343,45.05298717,HATS-24 b
947,17.295,1.16,1.645321,1.25,6124,11.754,12.879,69.570836,2397.116961,1,233.9229,4.931422808,114.9743731,141.5144665,Qatar-10 b
948,2.606,0.94,12.48749,0.93,5522,11.78,13.166,0.640796,67.66032048,0,7.3166,23.86559504,2.105310758,12.40834444,K2-207 b
949,1.37,1.29,22.2419092,1.79,6130,11.678,,40.086887,142.7666338,0,2.4523,20.24669203,0.471382679,0.27656937,Kepler-1300 b
950,2.48,1.21,2.57302,1.36,6293,11.758,12.991,-13.560024,1694.710806,0,6.7255,6.193186407,2.768877826,12.29444283,K2-61 b
951,13.092,0.88,1.354133,0.9,5227,11.906,13.562,-22.562992,1027.999239,1,427.463,5.485991008,269.529822,48.89249934,HATS-2 b
952,0.84,0.89,16.0506213,0.85,5410,11.866,,46.536053,38.64373494,0,0.5206,30.31108419,0.142888538,0.880908856,Kepler-1507 b
953,2.01,0.69,9.562742,0.67,4349.9,12,14.045,17.190685,23.71876306,0,4.7053,25.01261023,1.818629768,11.86059731,K2-120 b
954,7.76,1.16,3.142702,1.17,6357,11.725,12.756,-19.355907,1028.897926,0,46.7648,8.110820026,18.52521278,59.86831437,HATS-12 b
955,0.69,,3.107675,0.79,4910,11.955,,47.731678,,0,0.2574,,,,Kepler-141 b
956,1.41,,7.010606,0.79,4910,11.955,,47.731678,,0,2.5753,,,,Kepler-141 c
957,13.159,0.83,1.43036763,0.86,5600,11.753,12.9,-55.87178,1195.27555,1,607.0553,5.839672933,390.7906398,42.65992727,WASP-46 b
958,0.93,0.93,30.8609366,0.86,5686,11.83,,41.786961,19.60611473,0,0.7495,47.00720494,0.160656076,0.696054988,Kepler-1505 b
959,0.94,1.24,6.11009134,1.23,6191,11.719,,46.491463,403.2212051,0,0.7787,12.2884304,0.236405187,0.757974095,Kepler-1169 b
960,1.12,,5.470319,1.07,5828,11.71,,47.115196,,0,1.4581,,,,Kepler-334 b
961,1.43,,12.758005,1.07,5828,11.71,,47.115196,,0,2.6377,,,,Kepler-334 c
962,1.41,,25.09849,1.07,5828,11.71,,47.115196,,0,2.5753,,,,Kepler-334 d
963,14.123,0.99,4.2986432,1.11,5715,11.788,13.097,-23.781174,442.806057,1,194.8298,9.992454534,77.27493335,75.72556492,HATS-25 b
964,1.17,0.98,2.71407755,0.97,5763,11.817,,42.882488,649.918467,0,1.7048,8.387147645,0.793534511,1.156167504,Kepler-1035 b
965,2.13,0.88,9.59070716,0.85,5431,11.905,,41.182821,78.57223224,0,5.1928,21.42256886,1.704957097,11.19950786,Kepler-971 b
966,1.93,0.7,5.608352,0.62,4402.71,12.144,14.35,1.285956,43.00503501,0,4.3914,19.02948325,2.008366954,14.2674934,K2-35 b
967,1.32,0.7,2.399964,0.62,4402.71,12.144,14.35,1.285956,133.360338,0,2.3021,10.80620754,1.397143773,1.742353455,K2-35 c
968,1.98,0.66,21.169861,0.57,4148.21,12.277,15.256,17.640005,5.068825417,0,4.5865,49.20557253,1.401081147,9.617752531,EPIC 211822797 b
969,0.82,1,6.16486,1.04,5858,11.752,,44.337555,263.5529254,1,5.3,13.60853272,1.851620501,0.091575928,Kepler-106 b
970,2.5,1,13.5708,1.04,5858,11.752,,44.337555,92.03609825,1,10.44,23.02852506,2.803813995,6.716216725,Kepler-106 c
971,0.95,1,23.9802,1.04,5858,11.752,,44.337555,43.08192146,1,8.1,33.65872728,1.799359477,0.059245892,Kepler-106 d
972,2.56,1,43.8445,1.04,5858,11.752,,44.337555,19.26986344,1,11.17,50.32756334,2.029233311,4.559340285,Kepler-106 e
973,19.616,1.3,3.3023881,2.04,6071,11.839,12.955,-28.58559,2257.370621,1,206.5895,4.994195274,74.60830209,83.1520757,HATS-26 b
974,0.692,0.78,2.13174,,,12.086,14.102,0.488114,,0,0.2601,,,,EPIC 201497682 b
975,17.15,1.33,2.052868,1.64,6010,11.726,12.3,-23.946169,2601.184204,1,266.9772,4.559422917,111.2679078,72.61609301,WASP-142 b
976,1.26,,4.138575,0.82,5123,11.927,,43.168484,,0,2.1271,,,,Kepler-211 b
977,1.29,,6.04045,0.82,5123,11.927,,43.168484,,0,2.2139,,,,Kepler-211 c
978,1.18,1.21,7.46725407,1.21,6149,11.771,,51.354454,295.4054791,0,1.7576,14.16270473,0.507294326,0.620047889,Kepler-1248 b
979,11.994,1.34,4.43527,1.38,6330,11.712,12.8,-19.347314,807.4414645,1,921.707,9.07817152,295.6651811,7.633583061,NGTS-9 b
980,1.6,0.56,1.15116651,0.54,3934,12.264,,47.40707,199.3043204,0,3.1927,7.057596782,2.872349147,20.46330596,Kepler-994 b
981,3.78,0.96,10.95416,0.88,5471,11.882,13.11,40.669407,68.54575944,1,8.7,23.27499633,2.57867091,34.58658466,KOI-142 b
982,1.19,0.82,44.2008,0.78,5097,12.016,,41.650406,7.015085732,0,1.8115,63.14795103,0.374630309,0.520699242,Kepler-1499 b
983,1.72,0.34,18.47764449,0.33,3556,12.276,,45.018147,1.711570475,0,3.6104,62.2261024,1.79585399,18.22355662,Kepler-560 b
984,1.81,,6.00253,1.27,6090,11.722,,38.795481,,0,3.9374,,,,Kepler-135 b
985,1.16,,11.448708,1.27,6090,11.722,,38.795481,,0,1.6532,,,,Kepler-135 c
986,2.95,1.23,9.94067247,1.29,6310,11.735,,46.063828,251.4821019,0,9.0334,16.1641051,2.344371479,10.91148561,Kepler-465 b
