# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Dec  5 08:14:35 2019
#
# User preference: *
#
# CONSTRAINT:  where (pl_tranflag = 1
# CONSTRAINT:  and st_vjstr < 16)
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_controvflag: Controversial Flag
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN gaia_dist:      Gaia Distance [pc]
# COLUMN gaia_disterr1:  Gaia Distance Upper Unc. [pc]
# COLUMN gaia_disterr2:  Gaia Distance Lower Unc. [pc]
# COLUMN gaia_distlim:   Gaia Distance Limit Flag
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optmagerr:   Optical Magnitude Unc. [mag]
# COLUMN st_optmaglim:   Optical Magnitude Limit Flag
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN gaia_gmagerr:   G-band (Gaia) Unc. [mag]
# COLUMN gaia_gmaglim:   G-band (Gaia) Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_tranflag:    Planet Transit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_masse:       Planet Mass [Earth mass]
# COLUMN pl_masseerr1:   Planet Mass Upper Unc. [Earth mass]
# COLUMN pl_masseerr2:   Planet Mass Lower Unc. [Earth mass]
# COLUMN pl_masselim:    Planet Mass Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth radii]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth radii]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_facility:    Discovery Facility
# COLUMN st_vj:          V-band (Johnson) [mag]
# COLUMN st_vjerr:       V-band (Johnson) Unc. [mag]
# COLUMN st_vjlim:       V-band (Johnson) Limit Flag
# COLUMN st_j:           J-band (2MASS) [mag]
# COLUMN st_jerr:        J-band (2MASS) Unc. [mag]
# COLUMN st_jlim:        J-band (2MASS) Limit Flag
# COLUMN st_h:           H-band (2MASS) [mag]
# COLUMN st_herr:        H-band (2MASS) Unc. [mag]
# COLUMN st_hlim:        H-band (2MASS) Limit Flag
# COLUMN st_k:           Ks-band (2MASS) [mag]
# COLUMN st_kerr:        Ks-band (2MASS) Unc. [mag]
# COLUMN st_klim:        Ks-band (2MASS) Limit Flag
#
pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_tranflag,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_facility,st_vj,st_vjerr,st_vjlim,st_j,st_jerr,st_jlim,st_h,st_herr,st_hlim,st_k,st_kerr,st_klim
WASP-17,b,WASP-17 b,Transit,0,1,3.73543000,0.00000800,-0.00000800,0,,,,0,0.000000,,,0,86.630,0.420,-0.420,0,,,,0,0,0,0,0,15h59m50.95s,239.962306,-28d03m42.2s,-28.061733,410.41,8.72,-8.72,0,410.41,8.72,-8.72,0,11.600,,0,V (Johnson),11.380,,0,6550.00,100.00,-100.00,0,2.28,0.99,-0.99,0,1.49,0.19,-0.19,0,2018-04-26,1,,,,0,,,,0,247.90740,73.10090,-73.10090,0,20.961,2.690,-2.690,0,SuperWASP,11.600,,0,10.509,0.027,0,10.319,0.024,0,10.224,0.027,0
WASP-41,b,WASP-41 b,Transit,0,2,3.05240000,0.00000100,-0.00000100,0,,,,0,0.000000,,,0,89.400,0.300,-0.300,0,,,,0,0,0,0,0,12h42m28.50s,190.618736,-30d38m23.5s,-30.639870,164.14,1.06,-1.06,0,164.14,1.06,-1.06,0,11.600,,0,V (Johnson),11.282,,0,5545.00,33.00,-33.00,0,0.81,0.15,-0.15,0,0.83,0.04,-0.04,0,2018-04-26,1,,,,0,,,,0,270.15550,34.96130,-34.96130,0,12.330,0.560,-0.560,0,SuperWASP,11.600,,0,10.096,0.024,0,9.752,0.024,0,9.677,0.019,0
WASP-50,b,WASP-50 b,Transit,0,1,1.95510000,0.00000500,-0.00000500,0,0.029300,0.001300,-0.001300,0,,,,0,84.880,0.270,-0.270,0,1.32500,0.21400,-0.21400,0,0,0,0,0,02h54m45.14s,43.688073,-10d53m53.1s,-10.898080,185.82,1.87,-1.87,0,185.82,1.87,-1.87,0,11.600,,0,V (Johnson),11.552,,0,5400.00,100.00,-100.00,0,0.89,0.08,-0.07,0,0.84,0.03,-0.03,0,2019-07-11,1,1395,33,-33,0,,,,0,466.82870,29.24036,-29.24036,0,13.070,0.482,-0.482,0,SuperWASP,11.600,,0,10.401,0.022,0,10.041,0.022,0,9.969,0.021,0
WASP-66,b,WASP-66 b,Transit,0,1,4.08605000,0.00000700,-0.00000700,0,,,,0,0.000000,,,0,85.900,0.900,-0.900,0,,,,0,0,0,0,0,10h32m53.99s,158.224966,-34d59m23.4s,-34.989845,507.18,13.42,-13.42,0,507.18,13.42,-13.42,0,11.600,,0,V (Johnson),11.590,,0,6600.00,150.00,-150.00,0,1.33,0.83,-0.83,0,1.76,0.35,-0.35,0,2018-04-26,1,,,,0,,,,0,746.90050,311.47340,-311.47340,0,15.693,3.139,-3.139,0,SuperWASP,11.600,,0,10.719,0.022,0,10.496,0.024,0,10.452,0.022,0
K2-237,b,K2-237 b,Transit,0,1,2.18055770,0.00000570,-0.00000570,0,0.035300,0.001200,-0.001200,0,0.000000,,,0,84.600,0.300,-0.300,0,0.37000,0.03600,-0.03600,0,0,0,1,1,16h55m04.53s,253.768890,-28d42m38.0s,-28.710564,309.50,7.40,-7.40,0,317.60,7.12,-7.12,0,11.601,0.050,0,V (Johnson),11.467,,0,6099.00,110.00,-110.00,0,1.23,0.05,-0.05,0,1.38,0.04,-0.04,0,2019-05-23,1,1838,38,-38,0,,,,0,392.83788,13.98452,-13.98452,0,18.405,0.560,-0.560,0,Paranal Observatory,11.601,0.050,0,10.508,0.023,0,10.268,0.021,0,10.217,0.023,0
K2-263,b,K2-263 b,Transit,0,1,50.81894700,0.00009400,-0.00009400,0,0.257300,0.002900,-0.002900,0,0.140000,,,1,89.240,0.050,-0.070,0,5.70000,1.60000,-1.40000,0,0,0,1,0,08h38m43.77s,129.682388,+15d40m50.3s,15.680626,163.23,1.37,-1.37,0,163.23,1.37,-1.37,0,11.606,0.040,0,V (Johnson),11.405,,0,5368.00,44.00,-44.00,0,0.88,0.03,-0.03,0,0.85,0.02,-0.02,0,2018-09-27,1,470,10,-10,0,,,,0,14.80000,3.10000,-3.10000,0,2.410,0.120,-0.120,0,K2,11.606,0.040,0,10.216,0.020,0,9.814,0.022,0,9.748,0.020,0
Kepler-1656,b,Kepler-1656 b,Transit,0,1,31.57865900,,,0,0.197000,0.021000,-0.021000,0,0.836000,0.013000,-0.012000,0,89.310,0.470,-0.510,0,2.13000,0.87000,-0.57000,0,0,1,0,0,18h57m53.32s,284.472168,+39d54m42.6s,39.911824,186.88,0.83,-0.83,0,186.88,0.83,-0.83,0,11.640,0.130,0,V (Johnson),11.062,,0,5731.00,60.00,-60.00,0,1.03,0.04,-0.04,0,1.10,0.13,-0.13,0,2018-10-04,1,651,51,-47,0,,,,0,48.60000,4.20000,-3.80000,0,5.020,0.530,-0.530,0,Kepler,11.640,0.130,0,10.046,0.020,0,9.715,0.020,0,9.640,0.017,0
K2-139,b,K2-139 b,Transit,0,1,28.38061900,0.00055100,-0.00052800,0,0.179600,0.001500,-0.001500,0,,,,0,,,,0,,,,0,0,0,1,0,19h16m15.97s,289.066528,-17d54m38.5s,-17.910688,154.60,0.94,-0.94,0,154.54,0.93,-0.93,0,11.653,0.137,0,V (Johnson),11.463,,0,5370.00,68.00,-68.00,0,0.96,0.02,-0.02,0,0.88,0.01,-0.01,0,2018-10-26,1,524,8,-8,0,,,,0,,,,0,9.110,0.170,-0.170,0,K2,11.653,0.137,0,10.177,0.022,0,9.768,0.022,0,9.660,0.023,0
HAT-P-31,b,HAT-P-31 b,Transit,0,1,5.00542000,0.00009100,-0.00009100,0,,,,0,0.250000,0.000000,0.000000,0,87.100,2.250,-2.250,0,,,,0,0,0,0,0,18h06m09.05s,271.537705,+26d25m36.0s,26.426662,347.48,2.92,-2.92,0,347.48,2.92,-2.92,0,11.660,,0,V (Johnson),11.450,,0,6065.00,100.00,-100.00,0,1.31,0.73,-0.73,0,1.39,0.11,-0.11,0,2018-04-26,1,,,,0,,,,0,721.47410,266.97720,-266.97720,0,12.218,1.681,-1.681,0,HATNet,11.660,,0,10.423,0.022,0,10.128,0.027,0,10.083,0.021,0
WASP-58,b,WASP-58 b,Transit,0,1,5.01718000,0.00001100,-0.00001100,0,,,,0,0.000000,,,0,87.400,1.500,-1.500,0,,,,0,0,0,0,0,18h18m48.26s,274.701064,+45d10m19.3s,45.172016,292.85,1.84,-1.84,0,292.85,1.84,-1.84,0,11.660,,0,V (Johnson),11.635,,0,5800.00,150.00,-150.00,0,1.06,0.47,-0.47,0,1.22,0.11,-0.11,0,2018-04-26,1,,,,0,,,,0,308.29510,88.99240,-88.99240,0,16.029,1.569,-1.569,0,SuperWASP,11.660,,0,10.626,0.027,0,10.364,0.032,0,10.285,0.018,0
CoRoT-7,b,CoRoT-7 b,Transit,0,2,0.85359163,0.00000001,-0.00000001,0,,,,0,0.000000,,,0,80.100,0.300,-0.300,0,,,,0,0,0,0,0,06h43m49.47s,100.956125,-01d03m46.9s,-1.063033,160.64,0.91,-0.91,0,160.64,0.91,-0.91,0,11.668,0.008,0,V (Johnson),11.524,,0,5275.00,75.00,-75.00,0,0.82,0.17,-0.17,0,0.83,0.04,-0.04,0,2018-12-06,1,,,,0,,,,0,3.17830,0.00000,0.00000,0,1.681,0.112,-0.112,0,CoRoT,11.668,0.008,0,10.301,0.021,0,9.880,0.020,0,9.806,0.019,0
HAT-P-21,b,HAT-P-21 b,Transit,0,1,4.12448000,0.00000700,-0.00000700,0,,,,0,0.230000,0.020000,-0.020000,0,87.200,0.700,-0.700,0,,,,0,0,0,0,0,11h25m05.99s,171.274955,+41d01m40.6s,41.027954,279.48,3.21,-3.21,0,279.48,3.21,-3.21,0,11.685,,0,V (Johnson),11.558,,0,5588.00,80.00,-80.00,0,1.24,0.60,-0.60,0,1.21,0.17,-0.17,0,2018-04-26,1,,,,0,,,,0,1547.83210,498.99310,-498.99310,0,12.442,1.793,-1.793,0,HATNet,11.685,,0,10.503,0.022,0,10.154,0.019,0,10.111,0.018,0
WASP-12,b,WASP-12 b,Transit,0,1,1.09142000,0.00000014,-0.00000014,0,0.023200,0.000640,-0.000640,0,,,,0,83.520,0.030,-0.030,0,0.26700,0.02880,-0.02880,0,1,0,0,1,06h30m32.79s,97.636640,+29d40m20.2s,29.672291,432.48,6.09,-6.09,0,432.48,6.09,-6.09,0,11.690,0.080,0,V (Johnson),11.500,,0,6360.00,140.00,-140.00,0,1.43,0.11,-0.11,0,1.66,0.05,-0.05,0,2019-07-11,1,2593,57,-57,0,,,,0,465.62095,25.10857,-25.10857,0,21.712,0.628,-0.628,0,SuperWASP,11.690,0.080,0,10.477,0.021,0,10.228,0.022,0,10.188,0.020,0
HAT-P-40,b,HAT-P-40 b,Transit,0,1,4.45724000,0.00001000,-0.00001000,0,,,,0,0.000000,,,0,88.300,0.900,-0.900,0,,,,0,0,0,0,0,22h22m03.09s,335.512861,+45d27m26.6s,45.457378,470.68,6.57,-6.57,0,470.68,6.57,-6.57,0,11.699,,0,V (Johnson),11.416,,0,6080.00,100.00,-100.00,0,1.03,0.40,-0.40,0,1.94,0.22,-0.22,0,2018-04-26,1,,,,0,,,,0,152.55840,41.31790,-41.31790,0,17.038,1.906,-1.906,0,HATNet,11.699,,0,10.367,0.023,0,10.085,0.020,0,10.009,0.018,0
WASP-31,b,WASP-31 b,Transit,0,1,3.40590960,0.00000500,-0.00000500,0,0.046590,0.000350,-0.000350,0,0.000000,,,0,84.410,0.220,-0.220,0,0.17200,0.01900,-0.01900,0,0,0,0,0,11h17m45.37s,169.439021,-19d03m17.2s,-19.054773,360.00,30.00,-30.00,0,388.02,6.42,-6.42,0,11.700,0.200,0,V (Johnson),11.816,,0,6302.00,102.00,,0,1.16,0.03,,0,1.25,0.03,,0,2014-05-14,1,,,,,,,,,151.91600,9.21700,-9.21700,0,17.363,0.560,-0.560,0,SuperWASP,11.700,0.200,0,10.912,0.022,0,10.709,0.022,0,10.650,0.027,0
WASP-90,b,WASP-90 b,Transit,0,1,3.91624300,0.00000300,-0.00000300,0,0.056200,0.001200,-0.001200,0,0.000000,,,0,82.100,0.400,-0.400,0,0.19300,0.03600,-0.03600,0,0,0,0,0,21h02m07.67s,315.531971,+07d03m22.4s,7.056235,340.00,60.00,-60.00,0,471.71,19.40,-19.40,0,11.700,,0,V (Johnson),11.456,,0,6430.00,130.00,-130.00,0,1.55,0.10,-0.10,0,1.98,0.09,-0.09,0,2016-01-21,1,1840,50,-50,0,,,,,200.23290,22.24810,-22.24810,0,18.271,1.009,-1.009,0,SuperWASP,11.700,,0,10.550,0.021,0,10.302,0.020,0,10.248,0.021,0
K2-66,b,K2-66 b,Transit,0,1,5.06963000,0.00081000,-0.00081000,0,0.059830,0.000720,-0.000720,0,0.000000,,,0,86.600,2.400,-4.400,0,7.80000,2.70000,-2.70000,0,0,0,1,1,22h06m06.41s,331.526703,-10d42m41.6s,-10.711549,520.43,23.47,-23.47,0,520.43,23.47,-23.47,0,11.710,0.186,0,V (Johnson),11.996,,0,5887.00,46.00,-46.00,0,1.11,0.04,-0.04,0,1.67,0.12,-0.12,0,2019-07-25,1,1372,51,-51,0,840.0000,125.0000,-125.0000,0,21.30000,3.60000,-3.60000,0,2.490,0.340,-0.240,0,K2,11.710,0.186,0,10.948,0.023,0,10.664,0.026,0,10.609,0.021,0
WASP-48,b,WASP-48 b,Transit,0,1,2.14363000,0.00000300,-0.00000300,0,,,,0,0.000000,,,0,80.090,0.620,-0.620,0,,,,0,0,0,0,0,19h24m38.96s,291.162330,+55d28m23.4s,55.473160,460.14,4.51,-4.51,0,460.14,4.51,-4.51,0,11.720,0.140,0,V (Johnson),11.523,,0,5920.00,150.00,-150.00,0,0.88,0.36,-0.36,0,1.58,0.21,-0.21,0,2018-04-26,1,,,,0,,,,0,254.26400,73.10090,-73.10090,0,16.814,2.242,-2.242,0,SuperWASP,11.720,0.140,0,10.627,0.025,0,10.441,0.032,0,10.372,0.022,0
HAT-P-26,b,HAT-P-26 b,Transit,0,1,4.23452000,0.00001500,-0.00001500,0,,,,0,0.120000,0.060000,-0.060000,0,88.600,0.700,-0.700,0,,,,0,0,0,0,0,14h12m37.53s,213.156383,+04d03m36.0s,4.059997,142.41,1.14,-1.14,0,142.41,1.14,-1.14,0,11.744,,0,V (Johnson),11.464,,0,5079.00,88.00,-88.00,0,1.12,0.36,-0.36,0,0.87,0.05,-0.05,0,2018-04-26,1,,,,0,,,,0,22.24810,6.35660,-6.35660,0,7.062,0.448,-0.448,0,HATNet,11.744,,0,10.080,0.022,0,9.685,0.023,0,9.581,0.023,0
K2-105,b,K2-105 b,Transit,0,1,8.26770400,0.00035000,-0.00031800,0,0.079600,0.000700,-0.000700,0,,,,0,,,,0,,,,0,0,0,1,0,08h21m40.87s,125.420280,+13d29m51.1s,13.497530,199.28,1.50,-1.50,0,199.11,1.55,-1.55,0,11.752,0.195,0,V (Johnson),11.712,,0,5464.00,65.00,-65.00,0,0.99,0.03,-0.03,0,0.91,0.01,-0.01,0,2018-10-26,1,814,12,-12,0,,,,0,,,,0,3.370,0.120,-0.120,0,K2,11.752,0.195,0,10.541,0.020,0,10.173,0.025,0,10.091,0.019,0
TrES-1,b,TrES-1 b,Transit,0,1,3.03007000,0.00000800,-0.00000800,0,,,,0,0.000000,,,0,90.000,0.050,-0.050,0,,,,0,0,0,0,0,19h04m09.85s,286.041062,+36d37m57.5s,36.632629,160.39,0.73,-0.73,0,160.39,0.73,-0.73,0,11.760,0.010,0,V (Johnson),11.556,,0,5230.00,50.00,-50.00,0,1.04,0.19,-0.19,0,0.85,0.05,-0.05,0,2018-04-26,1,,,,0,,,,0,266.97720,34.96130,-34.96130,0,12.666,0.673,-0.673,0,TrES,11.760,0.010,0,10.294,0.022,0,9.887,0.021,0,9.819,0.019,0
HAT-P-50,b,HAT-P-50 b,Transit,0,1,3.12201090,0.00000650,-0.00000650,0,0.045300,0.000580,-0.001400,0,0.115000,,,1,83.650,0.570,-0.570,0,0.78000,0.11000,-0.11000,0,0,0,0,0,07h52m15.22s,118.063411,+12d08m21.9s,12.139410,497.00,21.00,-21.00,0,522.76,16.52,-16.52,0,11.762,0.030,0,V (Johnson),11.672,,0,6280.00,49.00,-49.00,0,1.27,0.05,-0.12,0,1.70,0.07,-0.07,0,2015-11-19,1,1862,34,-34,0,,,,,429.07050,23.20159,-23.20159,0,14.437,0.717,-0.717,0,HATNet,11.762,0.030,0,10.816,0.018,0,10.545,0.018,0,10.500,0.016,0
WASP-113,b,WASP-113 b,Transit,0,1,4.54216875,0.00000420,-0.00000420,0,0.058850,0.000100,-0.000100,0,0.000000,,,0,86.460,1.200,-0.640,0,0.22800,0.07300,-0.04500,0,0,0,0,0,14h59m29.47s,224.872776,+46d57m36.4s,46.960117,360.00,70.00,-70.00,0,440.67,4.47,-4.47,0,11.771,0.045,0,V (Johnson),11.604,,0,5890.00,140.00,-140.00,0,1.32,0.07,-0.07,0,1.61,0.09,-0.12,0,2016-07-18,1,1496,60,-60,0,,,,,150.96925,17.16282,-16.52716,0,15.793,1.076,-1.569,0,SuperWASP-North,11.771,0.045,0,10.636,0.018,0,10.330,0.024,0,10.311,0.019,0
K2-158,b,K2-158 b,Transit,0,2,10.06049000,0.00134000,-0.00148000,0,0.088700,0.000800,-0.000800,0,,,,0,,,,0,,,,0,0,0,1,0,11h59m45.60s,179.939987,-05d43m18.2s,-5.721709,198.20,2.10,-2.10,0,198.40,2.05,-2.05,0,11.774,0.174,0,V (Johnson),11.613,,0,5503.00,51.00,-48.00,0,0.92,0.03,-0.02,0,0.95,0.02,-0.02,0,2018-07-12,1,794,11,-11,0,,,,0,,,,0,2.640,0.160,-0.100,0,K2,11.774,0.174,0,10.432,0.024,0,10.051,0.021,0,9.974,0.021,0
K2-158,c,K2-158 c,Transit,0,2,5.90279000,0.00191000,-0.00233000,0,0.062200,0.000600,-0.000600,0,,,,0,,,,0,,,,0,0,0,1,0,11h59m45.60s,179.939987,-05d43m18.2s,-5.721709,198.20,2.10,-2.10,0,198.40,2.05,-2.05,0,11.774,0.174,0,V (Johnson),11.613,,0,5503.00,51.00,-48.00,0,0.92,0.03,-0.02,0,0.95,0.02,-0.02,0,2018-07-12,1,948,13,-13,0,,,,0,,,,0,1.280,0.130,-0.100,0,K2,11.774,0.174,0,10.432,0.024,0,10.051,0.021,0,9.974,0.021,0
K2-244,b,K2-244 b,Transit,0,1,21.06884000,0.00320000,-0.00325000,0,0.141800,0.001000,-0.001100,0,,,,0,,,,0,,,,0,0,0,1,0,12h13m52.54s,183.468918,-03d49m54.7s,-3.831868,214.00,2.40,-2.30,0,214.18,2.41,-2.41,0,11.780,0.176,0,V (Johnson),11.632,,0,5677.00,38.00,-39.00,0,0.86,0.02,-0.02,0,0.92,0.02,-0.01,0,2018-07-12,1,638,7,-7,0,,,,0,,,,0,1.750,0.130,-0.100,0,K2,11.780,0.176,0,10.555,0.024,0,10.235,0.023,0,10.163,0.023,0
K2-269,b,K2-269 b,Transit,0,1,4.14496500,0.00081700,-0.00061900,0,0.053100,0.000600,-0.000600,0,,,,0,,,,0,,,,0,0,0,1,0,08h40m37.24s,130.155167,+13d00m52.8s,13.014676,362.07,14.41,-14.41,0,363.85,15.30,-15.30,0,11.784,0.204,0,V (Johnson),11.377,,0,6209.00,88.00,-88.00,0,1.16,0.04,-0.04,0,1.45,0.06,-0.06,0,2018-10-26,1,1429,37,-37,0,,,,0,,,,0,1.570,0.120,-0.120,0,K2,11.784,0.204,0,10.541,0.021,0,10.290,0.022,0,10.212,0.022,0
WASP-1,b,WASP-1 b,Transit,0,1,2.51994540,0.00000050,-0.00000050,0,0.038890,0.000530,-0.000730,0,0.000000,,,0,90.000,1.300,-1.300,0,0.34800,0.02900,-0.03200,0,0,0,0,1,00h20m40.07s,5.166978,+31d59m24.0s,31.989990,397.29,10.66,-10.66,0,397.29,10.66,-10.66,0,11.790,,0,V (Johnson),11.535,,0,,,,,1.24,0.05,-0.07,0,1.47,0.02,-0.03,0,2014-05-14,1,,,,,,,,,271.41500,18.11600,-16.52600,0,16.623,0.269,-0.381,0,SuperWASP,11.790,,0,10.586,0.019,0,10.364,0.016,0,10.276,0.018,0
K2-36,b,K2-36 b,Transit,0,2,1.42261400,0.00003800,-0.00003800,0,0.022300,0.000400,-0.000400,0,0.000000,,,0,84.450,0.780,-0.480,0,7.20000,2.50000,-2.10000,0,0,0,1,1,11h17m47.78s,169.449066,+03d51m59.0s,3.866393,110.09,0.61,-0.61,0,110.09,0.61,-0.61,0,11.800,0.030,0,V (Johnson),11.527,,0,4916.00,35.00,-37.00,0,0.79,0.01,-0.01,0,0.72,0.01,-0.01,0,2019-08-15,1,1224,13,-13,0,529.0000,23.0000,-23.0000,0,3.90000,1.10000,-1.10000,0,1.430,0.080,-0.080,0,K2,11.800,0.030,0,10.034,0.022,0,9.549,0.021,0,9.454,0.025,0
K2-36,c,K2-36 c,Transit,0,2,5.34088800,0.00008600,-0.00008600,0,0.054000,0.001000,-0.001000,0,0.000000,,,0,86.917,0.066,-0.056,0,1.30000,0.70000,-0.50000,0,0,0,1,1,11h17m47.78s,169.449066,+03d51m59.0s,3.866393,110.09,0.61,-0.61,0,110.09,0.61,-0.61,0,11.800,0.030,0,V (Johnson),11.527,,0,4916.00,35.00,-37.00,0,0.79,0.01,-0.01,0,0.72,0.01,-0.01,0,2019-08-15,1,788,9,-9,0,90.0000,4.0000,-4.0000,0,7.80000,2.30000,-2.30000,0,3.200,0.300,-0.300,0,K2,11.800,0.030,0,10.034,0.022,0,9.549,0.021,0,9.454,0.025,0
WASP-55,b,WASP-55 b,Transit,0,1,4.46563000,0.00000400,-0.00000400,0,,,,0,0.000000,,,0,89.600,0.200,-0.200,0,,,,0,0,0,0,0,13h35m01.95s,203.758114,-17d30m12.5s,-17.503464,299.97,3.94,-3.94,0,299.97,3.94,-3.94,0,11.800,,0,V (Johnson),11.775,,0,5900.00,100.00,-100.00,0,1.11,0.35,-0.35,0,1.09,0.11,-0.11,0,2018-04-26,1,,,,0,,,,0,193.87630,41.31790,-41.31790,0,14.908,1.457,-1.457,0,SuperWASP,11.800,,0,10.775,0.027,0,10.443,0.023,0,10.396,0.024,0
K2-213,b,K2-213 b,Transit,0,1,8.13087000,0.00177100,-0.00179900,0,,,,,,,,,87.862,1.568,-3.731,0,,,,,0,0,1,0,00h52m33.67s,13.140305,+03d30m27.7s,3.507705,394.05,6.92,-6.92,0,394.05,6.92,-6.92,0,11.803,0.204,0,V (Johnson),12.041,,0,5794.00,50.00,-50.00,0,1.07,0.06,-0.04,0,1.20,0.17,-0.13,0,2018-02-15,1,,,,,,,,,,,,,1.514,0.298,-0.210,0,K2,11.803,0.204,0,11.034,0.026,0,10.729,0.022,0,10.656,0.021,0
