# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Nov 20 13:39:49 2019
#
# User preference: *
#
# CONSTRAINT:  where (k2c_disp like '%CANDIDATE%'
# CONSTRAINT:  and pl_radestr < 25
# CONSTRAINT:  and st_vjstr < 14)
#
# COLUMN epic_name:      EPIC Name
# COLUMN epic_candname:  Candidate Name
# COLUMN pl_name:        Planet Name
# COLUMN k2c_disp:       Exoplanet Archive Disposition
# COLUMN k2c_note:       Notes
# COLUMN k2_campaign:    K2 Campaign
# COLUMN k2c_recentflag: Most Recent Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_trandur:     Transit Duration [days]
# COLUMN pl_ratdor:      Ratio of Distance to Stellar Radius
# COLUMN pl_ratror:      Ratio of Candidate to Stellar Radius
# COLUMN pl_rade:        Candidate Radius [Earth radii]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_kep:         Kepler-band [mag]
# COLUMN st_vj:          V-band (Johnson) [mag]
# COLUMN st_j2:          J-band (2MASS) [mag]
# COLUMN st_k2:          Ks-band (2MASS) [mag]
#
epic_name,epic_candname,pl_name,k2c_disp,k2c_note,k2_campaign,k2c_recentflag,ra_str,ra,dec_str,dec,pl_orbper,pl_tranmid,pl_trandur,pl_ratdor,pl_ratror,pl_rade,pl_eqt,st_teff,st_logg,st_rad,st_kep,st_vj,st_j2,st_k2
EPIC 204057095,EPIC 204057095.01,,CANDIDATE,,2,0,16h11m00.76s,242.753174,-23d50m25.3s,-23.840353,23.21058500,2456913.627000,0.0854167,,0.06981,5.700,,5244.00,,0.81,11.583,11.790,10.288,9.847
EPIC 212560683,EPIC 212560683.01,,CANDIDATE,,6,1,13h37m45.37s,204.439056,-11d26m40.4s,-11.444560,13.70430000,2457227.418200,0.1780000,21.300000,0.01180,1.300,,,,1.01,11.621,11.794,10.619,10.204
EPIC 201595106,EPIC 201595106.01,,CANDIDATE,,10,1,12h14m52.88s,183.720352,+01d58m05.8s,1.968280,0.87703000,2457583.051300,0.0417000,5.400000,0.01140,1.200,1874,,,,11.678,11.797,10.588,10.218
EPIC 201595106,EPIC 201595106.01,,CANDIDATE,,10,0,12h14m52.88s,183.720352,+01d58m05.8s,1.968280,0.87718300,2457583.045380,,5.203693,0.01382,1.406,,5705.00,4.48,0.93,11.678,11.797,10.588,10.218
EPIC 212577658,EPIC 212577658.01,,CANDIDATE,,6,1,13h55m00.81s,208.753357,-11d04m47.4s,-11.079821,14.06928000,2457221.321800,0.1252000,32.400000,0.01915,1.830,,,,0.88,11.541,11.803,10.335,9.883
EPIC 212577658,EPIC 212577658.01,,CANDIDATE,,6,0,13h55m00.81s,208.753357,-11d04m47.4s,-11.079821,14.06975900,2457221.321330,,31.486756,0.01923,1.867,,5343.00,4.51,0.89,11.541,11.803,10.335,9.883
EPIC 212577658,EPIC 212577658.01,,CANDIDATE,,6,0,13h55m00.81s,208.753357,-11d04m47.4s,-11.079821,14.06912100,2457221.321680,0.1246000,,0.02010,1.800,,,,0.84,11.541,11.803,10.335,9.883
EPIC 206535016,EPIC 206535016.01,,CANDIDATE,,3,1,22h20m57.66s,335.240265,-04d08m22.1s,-4.139476,20.39970000,2456996.369500,0.0687000,85.000000,0.03120,2.650,,,,0.78,11.644,11.835,10.494,10.019
EPIC 206535016,EPIC 206535016.01,,CANDIDATE,,3,0,22h20m57.66s,335.240265,-04d08m22.1s,-4.139476,20.39814700,2456996.368000,0.0862500,,0.03633,2.930,,5399.00,,0.85,11.644,11.835,10.494,10.019
EPIC 206535016,EPIC 206535016.01,,CANDIDATE,,3,0,22h20m57.66s,335.240265,-04d08m22.1s,-4.139476,20.39807100,2456996.368390,,72.850542,0.03041,2.579,,5199.00,4.52,0.78,11.644,11.835,10.494,10.019
EPIC 211730024,EPIC 211730024.01,,CANDIDATE,,16,1,09h05m57.47s,136.489471,+16d19m32.1s,16.325573,5.11382300,2458096.810180,0.0896000,,,5.000,,6890.00,4.27,1.41,11.402,11.842,10.501,10.234
EPIC 206133795,EPIC 206133795.01,,CANDIDATE,,3,1,22h02m53.23s,330.721802,-11d12m53.7s,-11.214930,13.85430000,2456980.783900,0.2100000,18.300000,0.01580,3.180,,,,1.85,11.631,11.846,10.468,10.045
EPIC 203311200,EPIC 203311200.01,,CANDIDATE,,2,0,16h03m54.33s,240.976395,-26d33m13.5s,-26.553753,540.00000000,2456954.021000,,,0.05600,5.700,,5200.00,,0.94,11.896,11.877,10.644,10.324
EPIC 203311200,EPIC 203311200.01,,CANDIDATE,,2,1,16h03m54.33s,240.976395,-26d33m13.5s,-26.553753,,2456954.014760,0.5425000,,0.06030,12.810,,,,1.95,11.896,11.877,10.644,10.324
EPIC 211941472,EPIC 211941472.01,,CANDIDATE,,5,0,08h41m47.66s,130.448578,+19d20m51.0s,19.347498,5.78185300,2457143.616860,,10.157933,0.00956,1.443,,5739.00,4.11,1.38,11.788,11.949,10.776,10.387
EPIC 211941472,EPIC 211941472.01,,CANDIDATE,,5,1,08h41m47.66s,130.448578,+19d20m51.0s,19.347498,5.78370000,2457143.609800,0.1750000,9.200000,0.00960,1.380,,,,1.31,11.788,11.949,10.776,10.387
EPIC 220192485,EPIC 220192485.01,,CANDIDATE,,8,1,01h16m31.37s,19.130703,-00d17m24.2s,-0.290045,50.69369000,2457409.223370,0.1847000,75.800000,0.10390,8.850,,,,0.78,11.758,11.950,10.463,9.947
EPIC 220192485,EPIC 220192485.01,,CANDIDATE,,8,0,01h16m31.37s,19.130703,-00d17m24.2s,-0.290045,50.69364400,2457409.223300,,75.576315,0.10039,8.683,,5220.00,4.54,0.79,11.758,11.950,10.463,9.947
EPIC 212586030,EPIC 212586030.01,,CANDIDATE,,6,0,13h43m25.96s,205.858154,-10d53m48.9s,-10.896922,7.78522700,2457220.883300,,8.825517,0.03894,7.721,,5084.00,3.95,1.82,11.689,12.019,10.117,9.468
EPIC 212586030,EPIC 212586030.01,,CANDIDATE,,6,1,13h43m25.96s,205.858154,-10d53m48.9s,-10.896922,7.78608000,2457220.879900,0.1030000,12.500000,0.02980,10.900,,,,3.34,11.689,12.019,10.117,9.468
EPIC 201445732,EPIC 201445732.01,,CANDIDATE,,1,1,11h22m36.30s,170.651230,-00d16m47.2s,-0.279768,11.20381000,2456817.492600,0.0472000,66.000000,0.01820,2.180,,,,1.10,11.947,12.024,10.894,10.496
EPIC 212132195,EPIC 212132195.01,,CANDIDATE,,5,1,08h23m56.90s,125.987068,+22d39m47.0s,22.663046,26.19560000,2457164.391300,0.1430000,53.800000,0.02910,2.080,,,,0.66,11.670,12.025,10.128,9.501
EPIC 212132195,EPIC 212132195.01,,CANDIDATE,,5,0,08h23m56.90s,125.987068,+22d39m47.0s,22.663046,26.19702200,2457164.390750,,55.153809,0.03128,2.362,,4789.00,4.71,0.69,11.670,12.025,10.128,9.501
EPIC 214234110,EPIC 214234110.01,,CANDIDATE,,7,0,19h13m30.52s,288.377167,-27d01m01.0s,-27.016935,4.63791100,2457303.879440,,28.844411,0.01741,1.871,,5608.00,4.46,0.99,11.624,12.028,10.418,10.021
EPIC 214234110,EPIC 214234110.01,,CANDIDATE,,7,1,19h13m30.52s,288.377167,-27d01m01.0s,-27.016935,4.63789000,2457303.878800,0.0444000,28.800000,0.01830,2.040,,,,1.02,11.624,12.028,10.418,10.021
EPIC 206329937,EPIC 206329937.01,,CANDIDATE,,3,1,22h30m36.61s,337.652527,-07d46m19.4s,-7.772068,10.49927000,2456984.047700,0.1160000,26.100000,0.02190,1.430,,,,0.60,11.791,12.049,11.098,10.372
EPIC 211147528,EPIC 211147528.01,,CANDIDATE,,4,1,03h58m35.32s,59.647171,+25d23m18.9s,25.388590,2.34954500,2457063.058900,0.1130000,6.200000,0.08280,15.300,,,,1.70,11.832,12.050,10.884,10.619
EPIC 211147528,EPIC 211147528.01,,CANDIDATE,,4,0,03h58m35.32s,59.647171,+25d23m18.9s,25.388590,2.34945500,2457065.408700,0.0875000,,0.08070,15.800,,7056.00,4.06,1.81,11.832,12.050,10.884,10.619
EPIC 201543531,EPIC 201543531.01,,CANDIDATE,,1,1,11h31m16.06s,172.816910,+01d11m27.4s,1.190933,2.48038000,2456812.502400,0.0770000,8.500000,0.01040,1.440,,,,1.27,11.972,12.053,10.990,10.708
EPIC 203867512,EPIC 203867512.01,,CANDIDATE,,2,0,16h52m59.36s,253.247314,-24d37m34.5s,-24.626259,28.46563300,2456918.548000,0.3179167,,0.16420,18.400,,5700.00,,0.96,11.858,12.057,10.789,10.465
EPIC 220245303,EPIC 220245303.01,,CANDIDATE,,8,1,00h43m12.53s,10.802200,+01d28m15.1s,1.470872,3.68047000,2457392.793300,0.0880000,11.400000,0.01310,1.110,,,,0.78,11.821,12.060,10.478,9.962
EPIC 220245303,EPIC 220245303.01,,CANDIDATE,,8,0,00h43m12.53s,10.802200,+01d28m15.1s,1.470872,3.68034000,2457396.477070,,12.883622,0.01256,1.062,,5121.00,4.69,0.77,11.821,12.060,10.478,9.962
EPIC 220395416,EPIC 220395416.01,,CANDIDATE,,8,1,01h08m20.85s,17.086857,+04d37m22.9s,4.623034,45.49390000,2457407.885300,0.3450000,19.300000,0.04040,7.170,,,,1.63,11.913,12.078,10.917,10.549
EPIC 216166748,EPIC 216166748.01,,CANDIDATE,,7,1,19h27m41.28s,291.921997,-22d50m26.4s,-22.840675,19.68075000,2457303.363100,0.1800000,31.600000,0.02165,2.550,,,,1.08,11.884,12.079,10.771,10.355
EPIC 216166748,EPIC 216166748.01,,CANDIDATE,,7,0,19h27m41.28s,291.921997,-22d50m26.4s,-22.840675,19.67941100,2457303.361940,,28.927116,0.02118,2.315,,5679.00,4.49,1.00,11.884,12.079,10.771,10.355
EPIC 204579445,EPIC 204579445.01,,CANDIDATE,,2,1,16h03m18.80s,240.828354,-21d45m21.8s,-21.756069,24.68420000,2456900.487000,0.2070000,35.100000,0.01951,2.490,,,,1.17,11.916,12.083,10.664,10.249
EPIC 203925865,EPIC 203925865.01,,CANDIDATE,,2,1,16h52m07.92s,253.032990,-24d23m16.2s,-24.387844,8.79689000,2456898.283800,0.2900000,8.700000,0.02170,4.850,,,,2.05,11.865,12.091,10.324,9.842
EPIC 213123443,EPIC 213123443.01,,CANDIDATE,,7,1,19h04m42.76s,286.178162,-30d39m22.3s,-30.656187,0.54612700,2457301.950300,0.1320000,1.137000,0.07200,11.300,,,,1.45,11.951,12.095,10.988,10.713
EPIC 201299088,EPIC 201299088.01,,CANDIDATE,,10,1,12h08m49.13s,182.204697,-02d27m52.3s,-2.464518,21.20473900,2457600.342910,,7.257597,0.04741,9.110,,5154.00,3.91,1.76,11.751,12.107,10.366,9.800
EPIC 201606542,EPIC 201606542.01,,CANDIDATE,,1,0,11h21m14.85s,170.311874,+02d08m39.9s,2.144426,0.44433632,2456810.638000,0.0300000,,0.01068,1.010,,5208.00,,0.80,11.923,12.164,10.676,10.191
EPIC 201606542,EPIC 201606542.01,,CANDIDATE,,1,1,11h21m14.85s,170.311874,+02d08m39.9s,2.144426,0.44437200,2456817.744450,,8.300000,0.01360,1.220,,5540.00,4.81,0.82,11.923,12.164,10.676,10.191
EPIC 215502661,EPIC 215502661.01,,CANDIDATE,,7,1,18h48m46.27s,282.192810,-24d05m03.2s,-24.084225,21.52155400,2457306.222610,,20.697925,0.01896,2.400,,5694.00,4.22,1.16,12.032,12.179,10.413,9.919
EPIC 214611894,EPIC 214611894.01,,CANDIDATE,,7,1,18h45m45.75s,281.440643,-26d03m54.7s,-26.065205,21.56840900,2457325.854830,0.1696000,,0.15570,20.500,,,,1.21,11.872,12.189,10.484,10.034
EPIC 213748480,EPIC 213748480.01,,CANDIDATE,,7,1,18h48m05.00s,282.020813,-28d23m46.8s,-28.396324,3.12951000,2457304.184600,0.1650000,2.520000,0.08600,18.600,,,,1.99,12.034,12.192,11.350,11.273
EPIC 213546283,EPIC 213546283.01,,CANDIDATE,,7,1,19h17m30.45s,289.376862,-29d02m57.1s,-29.049206,9.77060000,2457302.354200,0.1345000,21.100000,0.02920,3.800,,,,1.20,12.031,12.207,10.847,10.436
EPIC 213546283,EPIC 213546283.01,,CANDIDATE,,7,0,19h17m30.45s,289.376862,-29d02m57.1s,-29.049206,9.76915500,2457312.131140,0.1242000,,0.02770,3.300,,,,1.10,12.031,12.207,10.847,10.436
EPIC 213546283,EPIC 213546283.01,,CANDIDATE,,7,0,19h17m30.45s,289.376862,-29d02m57.1s,-29.049206,9.77018600,2457302.356840,,22.914391,0.02944,3.193,,5631.00,4.29,0.99,12.031,12.207,10.847,10.436
EPIC 210629082,EPIC 210629082.01,,CANDIDATE,,4,1,03h49m04.07s,57.266960,+17d22m31.9s,17.375540,27.35310300,2457086.014870,,25.741857,0.01931,3.050,,6148.00,4.15,1.45,11.580,12.208,10.248,9.817
EPIC 211611158,EPIC 211611158.02,,CANDIDATE,,5,0,08h41m02.32s,130.259659,+14d41m25.2s,14.690320,52.71407200,2457159.158110,,47.691023,0.02803,2.796,,5722.00,4.58,0.91,12.414,12.215,11.066,10.680
EPIC 211611158,EPIC 211611158.02,,CANDIDATE,Candidate identifier changed to match previous publication.,5,1,08h41m02.32s,130.259659,+14d41m25.2s,14.690320,52.70990000,2457159.156800,0.2050000,74.000000,0.02550,2.480,,,,0.89,12.414,12.215,11.066,10.680
EPIC 215938010,EPIC 215938010.01,,CANDIDATE,,7,0,19h25m36.39s,291.401642,-23d15m39.0s,-23.260845,1.15147100,2457311.790510,0.0000000,,0.06910,12.400,,,,1.64,12.093,12.234,11.053,10.707
EPIC 204128016,EPIC 204128016.01,,CANDIDATE,,2,1,16h09m27.79s,242.365799,-23d33m16.1s,-23.554468,50.73641000,2456895.165940,0.2097000,45.900000,0.07010,10.310,,,,1.35,12.006,12.240,10.789,10.398
EPIC 202634963,EPIC 202634963.01,,CANDIDATE,,2,1,16h11m35.50s,242.897903,-28d56m04.7s,-28.934635,28.70762300,2456920.110000,0.1504167,,0.21360,21.200,,5838.00,,1.03,12.100,12.246,11.079,10.749
EPIC 211606790,EPIC 211606790.01,,CANDIDATE,,5,0,09h08m34.67s,137.144440,+14d37m51.2s,14.630882,37.24686900,2457150.089690,,32.293665,0.14789,23.804,,5445.00,4.05,1.48,12.673,12.246,10.860,10.398
EPIC 212464382,EPIC 212464382.01,,CANDIDATE,,6,1,13h18m41.03s,199.670959,-13d29m45.4s,-13.495934,4.07337000,2457219.713300,0.1150000,9.700000,0.01071,0.928,,,,0.79,11.947,12.255,10.485,9.908
EPIC 216363472,EPIC 216363472.01,,CANDIDATE,,7,1,18h46m33.87s,281.641144,-22d28m55.8s,-22.482166,8.69290000,2457301.885300,0.1570000,14.300000,0.01540,1.810,,,,1.08,11.870,12.264,10.557,10.104
EPIC 206028176,EPIC 206028176.01,,CANDIDATE,,3,1,22h01m12.07s,330.300293,-14d00m52.4s,-14.014557,9.38053000,2456978.748100,0.2150000,12.500000,0.01879,2.890,,,,1.41,12.244,12.281,11.318,11.075
EPIC 206028176,EPIC 206028176.01,,CANDIDATE,,3,0,22h01m12.07s,330.300293,-14d00m52.4s,-14.014557,9.38134020,2456988.130000,0.2033333,,0.01745,2.860,,6305.00,,1.39,12.244,12.281,11.318,11.075
EPIC 206028176,EPIC 206028176.01,,CANDIDATE,,3,0,22h01m12.07s,330.300293,-14d00m52.4s,-14.014557,9.38260000,2456988.124600,0.1963000,,0.01580,2.390,,6377.00,4.22,1.38,12.244,12.281,11.318,11.075
EPIC 205029914,EPIC 205029914.01,,CANDIDATE,,2,1,16h36m06.06s,249.025269,-19d44m40.7s,-19.744625,4.98150000,2456894.734100,0.1595000,8.600000,0.02384,2.390,,,,0.92,12.183,12.293,,
EPIC 205029914,EPIC 205029914.01,,CANDIDATE,,2,0,16h36m06.06s,249.025269,-19d44m40.7s,-19.744625,4.98183800,2456894.731370,,8.556132,0.02243,2.393,,5774.00,4.37,0.98,12.183,12.293,,
EPIC 205029914,EPIC 205029914.01,,CANDIDATE,,2,0,16h36m06.06s,249.025269,-19d44m40.7s,-19.744625,4.98205000,2456894.731400,0.1635800,,0.02060,2.300,,5594.00,4.38,1.01,12.183,12.293,,
EPIC 205029914,EPIC 205029914.01,,CANDIDATE,,2,0,16h36m06.06s,249.025269,-19d44m40.7s,-19.744625,4.98189210,2456894.731000,0.1600000,,0.02159,2.660,,5849.00,,1.04,12.183,12.293,,
EPIC 204649811,EPIC 204649811.01,,CANDIDATE,,2,0,16h19m16.97s,244.820694,-21d27m36.1s,-21.460026,2.64541650,2456894.861000,0.1133333,,0.13750,9.470,,5179.00,,0.79,11.610,12.297,10.572,10.298
EPIC 206192335,EPIC 206192335.01,,CANDIDATE,,3,0,22h10m39.40s,332.664185,-09d53m23.1s,-9.889762,3.59906660,2456979.947000,0.0741667,,0.01740,1.620,,5107.00,,0.78,11.870,12.312,10.651,10.250
EPIC 206192335,EPIC 206192335.01,,CANDIDATE,,3,0,22h10m39.40s,332.664185,-09d53m23.1s,-9.889762,3.59912000,2456983.544600,0.0698800,,0.01630,1.460,,5518.00,4.56,0.82,11.870,12.312,10.651,10.250
EPIC 206192335,EPIC 206192335.01,,CANDIDATE,,3,1,22h10m39.40s,332.664185,-09d53m23.1s,-9.889762,3.59922000,2456979.944900,0.0790000,12.300000,0.01850,1.630,,,,0.81,11.870,12.312,10.651,10.250
EPIC 206192335,EPIC 206192335.01,,CANDIDATE,,3,0,22h10m39.40s,332.664185,-09d53m23.1s,-9.889762,3.59905000,2456979.947080,,13.432190,0.01762,1.588,,5459.00,4.59,0.83,11.870,12.312,10.651,10.250
EPIC 201569483,EPIC 201569483.01,,CANDIDATE,,1,1,11h08m41.11s,167.171295,+01d34m39.0s,1.577513,5.79688610,2456813.313000,0.1070833,,0.32320,24.200,,4721.00,,0.72,11.771,12.329,10.386,9.883
EPIC 220294712,EPIC 220294712.01,,CANDIDATE,,8,0,01h12m38.86s,18.161898,+02d31m18.7s,2.521875,23.61093900,2457413.719560,0.2433000,,0.02510,3.000,,,,1.09,12.264,12.341,11.293,10.970
EPIC 220294712,EPIC 220294712.01,,CANDIDATE,,8,1,01h12m38.86s,18.161898,+02d31m18.7s,2.521875,23.60880000,2457413.721800,0.2500000,27.800000,0.02610,3.430,,,,1.20,12.264,12.341,11.293,10.970
EPIC 220294712,EPIC 220294712.01,,CANDIDATE,,8,0,01h12m38.86s,18.161898,+02d31m18.7s,2.521875,23.60790200,2457413.719370,,27.747243,0.02564,3.119,,6057.00,4.38,1.12,12.264,12.341,11.293,10.970
EPIC 212066407,EPIC 212066407.01,,CANDIDATE,,5,1,08h39m21.24s,129.838516,+21d23m27.0s,21.390829,0.82182410,2457140.364960,0.0469000,5.340000,0.02090,6.100,,,,2.66,12.176,12.344,11.227,10.844
EPIC 214254518,EPIC 214254518.01,,CANDIDATE,,7,0,19h01m54.18s,285.475739,-26d57m46.0s,-26.962774,5.05900000,2457339.630000,,16.190000,0.01500,1.120,,,,,11.874,12.347,10.116,9.338
EPIC 214254518,EPIC 214254518.01,,CANDIDATE,,7,1,19h01m54.18s,285.475739,-26d57m46.0s,-26.962774,5.05903300,2457304.216960,,14.421271,0.01526,1.038,,4455.00,4.68,0.62,11.874,12.347,10.116,9.338
EPIC 220170303,EPIC 220170303.02,,CANDIDATE,,8,1,00h51m05.70s,12.773741,-01d11m45.2s,-1.195891,4.92340000,2457396.409300,0.0840000,15.600000,0.01400,1.180,,,,0.78,12.114,12.353,10.773,10.206
EPIC 205570849,EPIC 205570849.01,,CANDIDATE,,2,1,16h19m27.22s,244.863434,-16d41m21.0s,-16.689157,16.85800000,2456894.672300,0.0858000,,0.04700,5.600,,5957.00,4.35,1.07,12.122,12.355,10.829,10.414
EPIC 220648214,EPIC 220648214.01,,CANDIDATE,,8,1,01h08m18.76s,17.078163,+10d08m13.0s,10.136946,29.43523300,2457416.648560,,42.031101,0.02229,2.917,,5785.00,4.21,1.20,12.390,12.395,11.186,10.781
EPIC 211733267,EPIC 211733267.01,,CANDIDATE,,5,0,08h40m02.26s,130.009415,+16d22m20.7s,16.372406,8.65816800,2457144.931750,,22.993247,0.19210,17.160,,5319.00,4.55,0.82,12.150,12.398,10.841,10.287
EPIC 211733267,EPIC 211733267.01,,CANDIDATE,,5,1,08h40m02.26s,130.009415,+16d22m20.7s,16.372406,8.65814300,2457144.931970,0.0707000,23.300000,0.19500,19.100,,,,0.90,12.150,12.398,10.841,10.287
EPIC 210965800,EPIC 210965800.05,,CANDIDATE,,4,1,03h31m33.33s,52.888882,+22d26m05.5s,22.434870,30.28940000,2457066.143600,0.2190000,38.000000,0.02280,2.330,,,,0.94,12.134,12.403,10.786,10.292
EPIC 210965800,EPIC 210965800.03,,CANDIDATE,,4,1,03h31m33.33s,52.888882,+22d26m05.5s,22.434870,13.16121000,2457071.145600,0.1690000,22.000000,0.02560,2.620,,,,0.94,12.134,12.403,10.786,10.292
EPIC 210965800,EPIC 210965800.06,,CANDIDATE,,4,1,03h31m33.33s,52.888882,+22d26m05.5s,22.434870,1.82876000,2457062.098500,0.0980000,5.240000,0.01430,1.460,,,,0.94,12.134,12.403,10.786,10.292
EPIC 210965800,EPIC 210965800.04,,CANDIDATE,,4,1,03h31m33.33s,52.888882,+22d26m05.5s,22.434870,21.08580000,2457064.544800,0.1970000,29.700000,0.02890,2.950,,,,0.94,12.134,12.403,10.786,10.292
EPIC 210965800,EPIC 210965800.02,,CANDIDATE,,4,1,03h31m33.33s,52.888882,+22d26m05.5s,22.434870,4.27681000,2457063.849200,0.1170000,10.000000,0.02220,2.270,,,,0.94,12.134,12.403,10.786,10.292
EPIC 211770696,EPIC 211770696.01,,CANDIDATE,,5,0,08h31m02.68s,127.761185,+16d54m02.0s,16.900568,16.27284000,2457145.968600,,14.774552,0.01816,2.109,,5656.00,4.23,1.06,12.253,12.414,11.186,10.804
EPIC 211770696,EPIC 211770696.01,,CANDIDATE,,5,1,08h31m02.68s,127.761185,+16d54m02.0s,16.900568,16.27130000,2457145.973200,0.3200000,14.800000,0.01997,2.770,,,,1.27,12.253,12.414,11.186,10.804
EPIC 212652418,EPIC 212652418.01,,CANDIDATE,,6,1,13h41m33.49s,205.389526,-09d23m27.0s,-9.390839,19.13240000,2457234.975100,0.1390000,39.300000,0.01860,2.730,,,,1.35,12.273,12.417,11.231,10.873
EPIC 216050437,EPIC 216050437.01,,CANDIDATE,,7,1,19h34m27.85s,293.616058,-23d03m10.6s,-23.052948,14.94889000,2457308.240390,0.1351000,16.800000,0.11900,21.900,,,,1.69,12.326,12.432,11.238,10.891
EPIC 211315836,EPIC 211315836.01,,CANDIDATE,,5,1,08h25m33.17s,126.388214,+10d10m14.2s,10.170609,1.38524600,2457139.737560,0.0367000,11.510000,0.03260,5.010,,,,1.41,12.380,12.434,11.422,11.086
EPIC 220207765,EPIC 220207765.01,,CANDIDATE,,8,1,01h24m01.87s,21.007797,+00d16m28.0s,0.274438,7.12113000,2457396.419600,0.0810000,25.300000,0.02140,1.990,,,,0.85,12.170,12.435,10.912,10.388
EPIC 220207765,EPIC 220207765.01,,CANDIDATE,,8,0,01h24m01.87s,21.007797,+00d16m28.0s,0.274438,7.11985600,2457396.426330,,27.668730,0.02022,1.880,,5318.00,4.68,0.85,12.170,12.435,10.912,10.388
EPIC 212587672,EPIC 212587672.01,,CANDIDATE,,6,0,13h41m46.73s,205.444702,-10d51m44.8s,-10.862432,23.22600000,2457237.044060,0.1346000,,0.02200,2.300,,,,0.95,12.188,12.487,11.181,10.857
EPIC 212587672,EPIC 212587672.01,,CANDIDATE,,6,0,13h41m46.73s,205.444702,-10d51m44.8s,-10.862432,23.22600100,2457237.043680,,44.881086,0.02160,2.245,,5928.00,4.49,0.95,12.188,12.487,11.181,10.857
EPIC 212587672,EPIC 212587672.01,,CANDIDATE,,6,1,13h41m46.73s,205.444702,-10d51m44.8s,-10.862432,23.22590000,2457237.045700,0.1390000,46.800000,0.02170,2.310,,,,0.98,12.188,12.487,11.181,10.857
EPIC 220292715,EPIC 220292715.01,,CANDIDATE,,8,0,01h13m07.41s,18.280867,+02d28m48.4s,2.480111,41.55293400,2457407.485480,,86.229310,0.05265,4.158,,4895.00,4.52,0.72,12.213,12.487,10.759,10.205
EPIC 220292715,EPIC 220292715.01,,CANDIDATE,,8,1,01h13m07.41s,18.280867,+02d28m48.4s,2.480111,41.55209000,2457407.485940,0.1230000,89.000000,0.05400,4.300,,,,0.73,12.213,12.487,10.759,10.205
EPIC 205111664,EPIC 205111664.01,,CANDIDATE,,2,1,16h14m43.23s,243.680115,-19d20m47.8s,-19.346617,15.93709000,2456906.432700,0.1370000,33.300000,0.02350,1.870,,,,0.73,12.129,12.491,10.488,9.875
EPIC 205111664,EPIC 205111664.01,,CANDIDATE,,2,0,16h14m43.23s,243.680115,-19d20m47.8s,-19.346617,15.93737800,2456906.431000,0.1354167,,0.02135,1.840,,4574.00,,0.70,12.129,12.491,10.488,9.875
EPIC 220317172,EPIC 220317172.01,,CANDIDATE,,8,1,01h08m34.22s,17.142590,+02d59m58.7s,2.999646,4.43580000,2457396.153300,0.0390000,31.100000,0.01350,1.300,,,,0.88,12.107,12.492,10.813,10.342
EPIC 220317172,EPIC 220317172.01,,CANDIDATE,,8,0,01h08m34.22s,17.142590,+02d59m58.7s,2.999646,4.43571700,2457396.152020,,33.145982,0.01435,1.325,,5374.00,4.59,0.85,12.107,12.492,10.813,10.342
EPIC 216114172,EPIC 216114172.01,,CANDIDATE,,7,1,19h40m36.22s,295.150909,-22d56m09.7s,-22.936018,13.12227000,2457303.215400,0.1640000,22.800000,0.01849,2.020,,,,1.00,12.603,12.493,,
EPIC 216114172,EPIC 216114172.01,,CANDIDATE,,7,0,19h40m36.22s,295.150909,-22d56m09.7s,-22.936018,13.12524400,2457303.212700,,21.963269,0.01574,1.677,,5742.00,4.50,0.98,12.603,12.493,,
EPIC 212435047,EPIC 212435047.01,,CANDIDATE,,6,0,13h28m31.37s,202.130722,-14d07m34.7s,-14.126292,1.11548500,2457218.445360,0.0658000,,0.01320,1.600,,,,1.10,12.389,12.500,11.237,10.907
EPIC 212435047,EPIC 212435047.01,,CANDIDATE,,6,1,13h28m31.37s,202.130722,-14d07m34.7s,-14.126292,1.11556300,2457218.441900,0.0850000,3.940000,0.01200,1.290,,,,0.98,12.389,12.500,11.237,10.907
EPIC 206476150,EPIC 206476150.01,,CANDIDATE,,3,1,22h39m17.38s,339.822418,-05d20m40.1s,-5.344462,12.19649000,2456980.179400,0.0803000,42.900000,0.01920,2.230,,,,1.06,12.241,12.517,11.188,10.699
EPIC 218621322,EPIC 218621322.01,,CANDIDATE,,7,1,19h01m52.51s,285.468811,-18d28m04.5s,-18.467922,11.58750200,2457316.045430,0.1625000,,0.20200,21.900,,,,1.00,12.396,12.532,11.005,10.586
EPIC 219388192,EPIC 219388192.01,,CANDIDATE,,7,1,19h17m34.04s,289.391815,-16d52m17.8s,-16.871611,5.29262700,2457303.988520,0.1373000,13.210000,0.09517,10.980,,,,1.06,12.336,12.535,11.073,10.666
EPIC 219388192,EPIC 219388192.01,,CANDIDATE,,7,0,19h17m34.04s,289.391815,-16d52m17.8s,-16.871611,5.29266000,2457314.573140,0.1375000,,0.08790,9.600,,,,1.00,12.336,12.535,11.073,10.666
